Date,Time,Transaction ID,Account Number (Sender),Account Name (Sender),Account Number (Receiver),Account Name (Receiver),Category,Amount,Transaction Type,Description
2024-10-16,15:38:23,T1283954,AC51381191,Rohan,AC77039456,Nikhil,Entertainment,4252.26,Credit,Auto-generated transaction details
2024-10-17,15:38:23,T2524623,AC69658944,Ishita,AC41247155,HDFC Bank,Entertainment,4126.54,Debit,Auto-generated transaction details
2024-10-17,15:38:23,T6635794,AC66333814,Ishita,AC27143005,Maruti Suzuki,Transport,5176.44,Credit,Auto-generated transaction details
2024-10-18,15:38:23,T2524510,AC48358939,Pooja,AC91146994,Neha,Transport,4115.42,Debit,Auto-generated transaction details
2024-10-18,15:38:23,T3203329,AC46149683,Tata Consultancy Services,AC35206981,Rohan,Entertainment,4628.63,Credit,Auto-generated transaction details
2024-10-18,15:38:23,T8247901,AC86506734,Diya,AC66294978,Pooja,Utilities,9917.59,Credit,Auto-generated transaction details
2024-10-18,15:38:23,T3983260,AC59528685,Pooja,AC96931923,Lakshmi,Healthcare,3769.63,Debit,Auto-generated transaction details
2024-10-18,15:38:23,T7214036,AC16398229,HDFC Bank,AC26631996,Aarav,Food,6529.39,Credit,Auto-generated transaction details
2024-10-18,15:38:23,T4312278,AC71260608,Mahindra & Mahindra,AC18915510,Sneha,Miscellaneous,6798.96,Credit,Auto-generated transaction details
2024-10-19,15:38:23,T4874042,AC26094959,Adani Enterprises,AC36620770,Hindustan Unilever,Education,9889.13,Credit,Auto-generated transaction details
2024-10-19,15:38:23,T3800158,AC31752779,Kabir,AC48696587,Rajesh,Entertainment,149.82,Debit,Auto-generated transaction details
2024-10-19,15:38:23,T4850008,AC43108508,Bharti Airtel,AC37039658,Siddharth,Transport,3710.29,Credit,Auto-generated transaction details
2024-10-19,15:38:23,T3291545,AC71616029,Tata Consultancy Services,AC50315838,Sneha,Healthcare,3927.36,Debit,Auto-generated transaction details
2024-10-19,15:38:23,T2476325,AC31107842,Ananya,AC67115414,Bharti Airtel,Entertainment,5376.75,Credit,Auto-generated transaction details
2024-10-19,15:38:23,T8254112,AC32093970,Larsen & Toubro,AC34272929,Aditi,Education,4482.0,Debit,Auto-generated transaction details
2024-10-19,15:38:23,T2500675,AC28926867,Arjun,AC43291867,Ananya,Entertainment,3848.39,Debit,Auto-generated transaction details
2024-10-19,15:38:23,T9080401,AC21306378,Bharti Airtel,AC35278332,Larsen & Toubro,Utilities,9995.48,Credit,Auto-generated transaction details
2024-10-19,15:38:23,T3723287,AC48861847,Ishita,AC51883689,Karthik,Healthcare,3278.01,Credit,Auto-generated transaction details
2024-10-19,15:38:23,T5885066,AC32786124,Axis Bank,AC92116757,Rohan,Food,8089.68,Credit,Auto-generated transaction details
2024-10-20,15:38:23,T8729235,AC52437083,Karthik,AC51632898,Sneha,Miscellaneous,272.26,Credit,Auto-generated transaction details
2024-10-20,15:38:23,T3581085,AC97349505,Akash,AC46360273,Siddharth,Utilities,7805.13,Credit,Auto-generated transaction details
2024-10-20,15:38:23,T4138362,AC98576733,Maruti Suzuki,AC75801948,Bharti Airtel,Shopping,945.86,Credit,Auto-generated transaction details
2024-10-20,15:38:23,T5342695,AC75301275,Tata Consultancy Services,AC71323844,ICICI Bank,Entertainment,9101.11,Credit,Auto-generated transaction details
2024-10-20,15:38:23,T2141562,AC78182864,Pooja,AC24937330,Priya,Shopping,8338.96,Credit,Auto-generated transaction details
2024-10-21,15:38:23,T4280434,AC93288667,Bajaj Finserv,AC89400280,Arjun,Transport,5265.68,Debit,Auto-generated transaction details
2024-10-21,15:38:23,T5940659,AC48595399,Diya,AC79803859,Neha,Transport,9501.45,Credit,Auto-generated transaction details
2024-10-22,15:38:23,T1052177,AC97124158,Infosys,AC97143491,Tata Consultancy Services,Food,4856.08,Credit,Auto-generated transaction details
2024-10-23,15:38:23,T8358401,AC66640480,Arjun,AC84564057,Reliance Industries,Education,6711.67,Debit,Auto-generated transaction details
2024-10-24,15:38:23,T7951144,AC69248284,Tata Consultancy Services,AC26990399,Pooja,Food,4260.93,Credit,Auto-generated transaction details
2024-10-24,15:38:23,T3405188,AC30278626,Ishita,AC53507479,Rohan,Entertainment,6935.26,Credit,Auto-generated transaction details
2024-10-24,15:38:23,T4937158,AC78416831,Ananya,AC65517381,HDFC Bank,Healthcare,8546.08,Credit,Auto-generated transaction details
2024-10-24,15:38:23,T7646103,AC46489041,Lakshmi,AC51183180,Larsen & Toubro,Entertainment,2082.28,Debit,Auto-generated transaction details
2024-10-24,15:38:23,T4543450,AC25371694,Ishita,AC31816680,Pooja,Entertainment,8708.17,Credit,Auto-generated transaction details
2024-10-24,15:38:23,T7500988,AC99009656,Meera,AC29374782,Karthik,Entertainment,1220.12,Credit,Auto-generated transaction details
2024-10-24,15:38:23,T9815789,AC32720687,Bajaj Finserv,AC70111891,Axis Bank,Utilities,8897.76,Credit,Auto-generated transaction details
2024-10-24,15:38:23,T4696039,AC54572056,Hindustan Unilever,AC60445838,Adani Enterprises,Utilities,848.53,Debit,Auto-generated transaction details
2024-10-25,15:38:23,T9540846,AC99005068,Rajesh,AC48754020,Adani Enterprises,Food,8885.05,Debit,Auto-generated transaction details
2024-10-25,15:38:23,T6879967,AC60334152,Tata Consultancy Services,AC72978242,Bharti Airtel,Transport,1653.07,Debit,Auto-generated transaction details
2024-10-26,15:38:23,T6108267,AC14877543,Arjun,AC77429007,Nikhil,Healthcare,1312.76,Debit,Auto-generated transaction details
2024-10-27,15:38:23,T4243920,AC69594358,Maruti Suzuki,AC25907022,Ananya,Education,8918.14,Debit,Auto-generated transaction details
2024-10-28,15:38:23,T4341352,AC32337160,Neha,AC80086183,Tata Consultancy Services,Entertainment,1698.68,Credit,Auto-generated transaction details
2024-10-28,15:38:23,T4530846,AC59295333,State Bank of India,AC98418749,Priya,Shopping,1286.95,Credit,Auto-generated transaction details
2024-10-28,15:38:23,T3874736,AC43903964,Akash,AC26757572,Ishita,Transport,6752.76,Credit,Auto-generated transaction details
2024-10-28,15:38:23,T3577198,AC61738923,Nikhil,AC52051942,Mahindra & Mahindra,Miscellaneous,138.7,Debit,Auto-generated transaction details
2024-10-28,15:38:23,T9953429,AC93172469,Meera,AC41218908,HDFC Bank,Healthcare,6829.19,Credit,Auto-generated transaction details
2024-10-28,15:38:23,T8633147,AC30612314,Diya,AC60091514,Priya,Healthcare,145.57,Credit,Auto-generated transaction details
2024-10-28,15:38:23,T9204288,AC23528885,HDFC Bank,AC10802389,Priya,Shopping,8717.43,Credit,Auto-generated transaction details
2024-10-29,15:38:23,T5673660,AC45818644,Bajaj Finserv,AC28893037,Aarav,Healthcare,7555.81,Credit,Auto-generated transaction details
2024-10-29,15:38:23,T1285122,AC64517835,Ishita,AC98777284,Aditi,Healthcare,956.82,Credit,Auto-generated transaction details
2024-10-29,15:38:23,T8573467,AC81516227,Ishita,AC96153327,Tata Consultancy Services,Shopping,1452.55,Credit,Auto-generated transaction details
2024-10-29,15:38:23,T9387242,AC96835683,Rohan,AC80990295,Reliance Industries,Healthcare,9917.98,Credit,Auto-generated transaction details
2024-10-29,15:38:23,T5678598,AC62319117,State Bank of India,AC87477603,Bharti Airtel,Entertainment,5282.61,Debit,Auto-generated transaction details
2024-10-29,15:38:23,T5964035,AC12825332,ICICI Bank,AC24006782,Karthik,Entertainment,7932.01,Debit,Auto-generated transaction details
2024-10-29,15:38:23,T8589603,AC48383160,Arjun,AC80531603,Vikram,Transport,2153.36,Debit,Auto-generated transaction details
2024-10-29,15:38:23,T8245298,AC43461451,ICICI Bank,AC61232980,Neha,Education,4274.73,Debit,Auto-generated transaction details
2024-10-30,15:38:23,T9137290,AC34948637,Mahindra & Mahindra,AC97609174,Larsen & Toubro,Transport,9297.28,Debit,Auto-generated transaction details
2024-10-30,15:38:23,T3387692,AC22539110,Reliance Industries,AC70588216,Meera,Healthcare,4902.88,Credit,Auto-generated transaction details
2024-10-30,15:38:23,T3159698,AC66806305,Siddharth,AC12469455,Reliance Industries,Education,436.46,Debit,Auto-generated transaction details
2024-10-30,15:38:23,T5702426,AC45554937,Nikhil,AC18312445,Mahindra & Mahindra,Food,3333.89,Credit,Auto-generated transaction details
2024-10-30,15:38:23,T1196470,AC25286824,Diya,AC60014958,Reliance Industries,Education,7744.2,Debit,Auto-generated transaction details
2024-10-30,15:38:23,T2186485,AC69708605,Maruti Suzuki,AC79686797,Reliance Industries,Utilities,3826.91,Debit,Auto-generated transaction details
2024-10-30,15:38:23,T2115524,AC23247177,Diya,AC74718701,Siddharth,Utilities,2388.67,Debit,Auto-generated transaction details
2024-10-30,15:38:23,T1517020,AC85093399,Aarav,AC99744965,Rajesh,Utilities,8165.12,Debit,Auto-generated transaction details
2024-10-30,15:38:23,T5292867,AC35916984,State Bank of India,AC85166788,Rohan,Shopping,1392.43,Debit,Auto-generated transaction details
2024-10-30,15:38:23,T5675060,AC98791737,State Bank of India,AC16849142,ICICI Bank,Shopping,8006.4,Credit,Auto-generated transaction details
2024-10-31,15:38:23,T9260881,AC76171019,Pooja,AC40757703,State Bank of India,Healthcare,7588.03,Debit,Auto-generated transaction details
2024-10-31,15:38:23,T5332793,AC76251917,Wipro,AC91519096,Tata Consultancy Services,Utilities,5038.58,Debit,Auto-generated transaction details
2024-10-31,15:38:23,T4121551,AC96943434,Karthik,AC15611078,Lakshmi,Entertainment,4681.64,Debit,Auto-generated transaction details
2024-11-01,15:38:23,T9032568,AC11030572,Siddharth,AC64160626,Diya,Transport,9965.39,Credit,Auto-generated transaction details
2024-11-01,15:38:23,T2482739,AC20027711,Reliance Industries,AC62754949,Tata Consultancy Services,Utilities,4159.59,Debit,Auto-generated transaction details
2024-11-01,15:38:23,T4895539,AC67091399,Maruti Suzuki,AC93208982,Siddharth,Food,1181.95,Credit,Auto-generated transaction details
2024-11-01,15:38:23,T6511631,AC19206862,Akash,AC40073969,Adani Enterprises,Education,9314.5,Debit,Auto-generated transaction details
2024-11-01,15:38:23,T1843783,AC20790120,Maruti Suzuki,AC65081898,Akash,Healthcare,7843.97,Debit,Auto-generated transaction details
2024-11-01,15:38:23,T1866646,AC94108109,Ananya,AC11242905,Karthik,Miscellaneous,7083.1,Debit,Auto-generated transaction details
2024-11-02,15:38:23,T4882824,AC34365290,ICICI Bank,AC21265198,Tata Consultancy Services,Food,1359.16,Debit,Auto-generated transaction details
2024-11-02,15:38:23,T1607516,AC15919577,Adani Enterprises,AC30848598,Infosys,Miscellaneous,6283.34,Debit,Auto-generated transaction details
2024-11-02,15:38:23,T6319580,AC68919324,Akash,AC91502186,Bharti Airtel,Education,5011.95,Debit,Auto-generated transaction details
2024-11-02,15:38:23,T5039097,AC43195284,Priya,AC23919644,Adani Enterprises,Food,6502.53,Debit,Auto-generated transaction details
2024-11-02,15:38:23,T1713680,AC43628353,Lakshmi,AC44673117,Aarav,Transport,2900.61,Credit,Auto-generated transaction details
2024-11-02,15:38:23,T9257768,AC85315444,Ananya,AC41929350,Nikhil,Shopping,8520.33,Credit,Auto-generated transaction details
2024-11-02,15:38:23,T9010900,AC30111347,Mahindra & Mahindra,AC91409373,State Bank of India,Healthcare,7752.28,Credit,Auto-generated transaction details
2024-11-02,15:38:23,T4757306,AC63638726,Akash,AC58345413,Ananya,Food,8278.05,Credit,Auto-generated transaction details
2024-11-02,15:38:23,T6484253,AC13151701,Wipro,AC95516428,Arjun,Shopping,1495.19,Credit,Auto-generated transaction details
2024-11-02,15:38:23,T6836599,AC33344034,State Bank of India,AC66004867,Priya,Food,1520.4,Credit,Auto-generated transaction details
2024-11-03,15:38:23,T7921242,AC92304350,Ananya,AC61144192,Mahindra & Mahindra,Entertainment,2647.79,Credit,Auto-generated transaction details
2024-11-04,15:38:23,T2642522,AC72955172,Diya,AC76469358,Diya,Transport,3785.72,Credit,Auto-generated transaction details
2024-11-04,15:38:23,T4758012,AC87626903,Akash,AC82723784,Karthik,Food,9986.77,Credit,Auto-generated transaction details
2024-11-04,15:38:23,T4785833,AC46104678,Arjun,AC97017558,Rohan,Utilities,1344.29,Credit,Auto-generated transaction details
2024-11-04,15:38:23,T5685920,AC71065272,Meera,AC23453401,Ishita,Miscellaneous,1542.64,Credit,Auto-generated transaction details
2024-11-05,15:38:23,T5203387,AC54329932,Kabir,AC98999878,State Bank of India,Food,4703.52,Debit,Auto-generated transaction details
2024-11-05,15:38:23,T4777176,AC43643472,Bharti Airtel,AC39082192,Arjun,Transport,3597.44,Debit,Auto-generated transaction details
2024-11-05,15:38:23,T4943198,AC15998546,Priya,AC67470541,Ishita,Healthcare,5746.16,Debit,Auto-generated transaction details
2024-11-05,15:38:23,T6530519,AC43316535,HDFC Bank,AC67609765,Axis Bank,Food,2874.14,Debit,Auto-generated transaction details
2024-11-05,15:38:23,T3965440,AC44678639,Sneha,AC48997128,Wipro,Miscellaneous,751.17,Credit,Auto-generated transaction details
2024-11-05,15:38:23,T9693800,AC63619037,Adani Enterprises,AC36565957,Axis Bank,Education,978.72,Debit,Auto-generated transaction details
2024-11-05,15:38:23,T2048506,AC10239187,Vikram,AC79846576,Bharti Airtel,Miscellaneous,9268.57,Credit,Auto-generated transaction details
2024-11-06,15:38:23,T5379326,AC63219686,Infosys,AC94990746,Bharti Airtel,Healthcare,4189.22,Credit,Auto-generated transaction details
2024-11-06,15:38:23,T9597295,AC61510991,Rajesh,AC22499797,Aditi,Entertainment,3843.22,Debit,Auto-generated transaction details
2024-11-07,15:38:23,T8137856,AC18028865,Sneha,AC92309833,Priya,Miscellaneous,6128.85,Debit,Auto-generated transaction details
2024-11-07,15:38:23,T1758444,AC89839982,Reliance Industries,AC32530723,Axis Bank,Healthcare,3269.48,Credit,Auto-generated transaction details
2024-11-07,15:38:23,T6777544,AC98157814,Sneha,AC80820813,Aditi,Shopping,6495.84,Credit,Auto-generated transaction details
2024-11-07,15:38:23,T2145381,AC53389923,Siddharth,AC77479626,Axis Bank,Food,5217.79,Credit,Auto-generated transaction details
2024-11-07,15:38:23,T7666495,AC50440847,Adani Enterprises,AC15826129,Wipro,Healthcare,7631.76,Debit,Auto-generated transaction details
2024-11-07,15:38:23,T8380531,AC49930119,Sneha,AC79613143,Bharti Airtel,Food,9912.29,Credit,Auto-generated transaction details
2024-11-07,15:38:23,T5131051,AC74673884,Vikram,AC78707266,Aarav,Education,1704.46,Debit,Auto-generated transaction details
2024-11-08,15:38:23,T2106806,AC60492071,Tata Consultancy Services,AC81509878,Bharti Airtel,Miscellaneous,8979.81,Credit,Auto-generated transaction details
2024-11-08,15:38:23,T8314667,AC21842634,Adani Enterprises,AC15736800,Mahindra & Mahindra,Education,9622.13,Credit,Auto-generated transaction details
2024-11-08,15:38:23,T1239751,AC82306573,Nikhil,AC59213483,Neha,Miscellaneous,9569.7,Debit,Auto-generated transaction details
2024-11-08,15:38:23,T3318896,AC25706884,HDFC Bank,AC18091982,Pooja,Education,4815.23,Credit,Auto-generated transaction details
2024-11-08,15:38:23,T6352141,AC36126000,Maruti Suzuki,AC97164111,Tata Consultancy Services,Utilities,7323.25,Credit,Auto-generated transaction details
2024-11-08,15:38:23,T1413851,AC16773774,Hindustan Unilever,AC19491665,Adani Enterprises,Food,9314.34,Debit,Auto-generated transaction details
2024-11-08,15:38:23,T2998956,AC57477274,Adani Enterprises,AC41403101,Kabir,Transport,1007.46,Credit,Auto-generated transaction details
2024-11-09,15:38:23,T3950605,AC45569225,Reliance Industries,AC28473607,Neha,Food,968.68,Credit,Auto-generated transaction details
2024-11-10,15:38:23,T6198741,AC71024217,Meera,AC95153107,Kabir,Food,4219.35,Debit,Auto-generated transaction details
2024-11-10,15:38:23,T1503056,AC96931455,Nikhil,AC99620969,Priya,Entertainment,7214.74,Credit,Auto-generated transaction details
2024-11-10,15:38:23,T7067615,AC66846790,Sneha,AC98844058,Ananya,Education,7992.73,Credit,Auto-generated transaction details
2024-11-10,15:38:23,T3750187,AC49630925,Mahindra & Mahindra,AC59712763,Lakshmi,Food,3041.27,Credit,Auto-generated transaction details
2024-11-10,15:38:23,T2173974,AC58445866,Neha,AC20481104,Bajaj Finserv,Healthcare,1443.92,Debit,Auto-generated transaction details
2024-11-10,15:38:23,T7273949,AC17414145,Kabir,AC34679235,Ananya,Miscellaneous,3978.11,Debit,Auto-generated transaction details
2024-11-11,15:38:23,T8168366,AC56523761,Priya,AC59714858,ICICI Bank,Utilities,4760.13,Credit,Auto-generated transaction details
2024-11-12,15:38:23,T2040454,AC16059036,HDFC Bank,AC41170865,Reliance Industries,Entertainment,3239.8,Credit,Auto-generated transaction details
2024-11-12,15:38:23,T6810041,AC66502638,Siddharth,AC62124681,Arjun,Education,345.82,Debit,Auto-generated transaction details
2024-11-12,15:38:23,T8635234,AC88605806,Rohan,AC77519226,Vikram,Entertainment,6119.27,Debit,Auto-generated transaction details
2024-11-12,15:38:23,T4871356,AC11258115,Larsen & Toubro,AC25410041,Adani Enterprises,Education,2159.63,Debit,Auto-generated transaction details
2024-11-12,15:38:23,T3734411,AC27813963,Bharti Airtel,AC19451454,Neha,Transport,7242.06,Credit,Auto-generated transaction details
2024-11-12,15:38:23,T2495672,AC42540720,Siddharth,AC71258803,Infosys,Utilities,2919.72,Debit,Auto-generated transaction details
2024-11-12,15:38:23,T8678473,AC44373114,Axis Bank,AC57824945,Axis Bank,Miscellaneous,282.35,Credit,Auto-generated transaction details
2024-11-13,15:38:23,T5735172,AC36756353,Bharti Airtel,AC79399976,Diya,Food,106.91,Debit,Auto-generated transaction details
2024-11-14,15:38:23,T6273251,AC93592812,Wipro,AC89506604,Sneha,Transport,1590.61,Debit,Auto-generated transaction details
2024-11-14,15:38:23,T9360082,AC75270628,Vikram,AC57572057,Lakshmi,Healthcare,2024.8,Debit,Auto-generated transaction details
2024-11-14,15:38:23,T6362532,AC68690595,Adani Enterprises,AC57801595,Diya,Healthcare,3533.26,Credit,Auto-generated transaction details
2024-11-14,15:38:23,T3838943,AC86994890,Reliance Industries,AC34048877,Siddharth,Miscellaneous,8036.58,Debit,Auto-generated transaction details
2024-11-14,15:38:23,T6809263,AC56929095,Adani Enterprises,AC42744549,Infosys,Utilities,9846.0,Debit,Auto-generated transaction details
2024-11-14,15:38:23,T7806237,AC60140356,Reliance Industries,AC72832880,Nikhil,Transport,7440.8,Credit,Auto-generated transaction details
2024-11-14,15:38:23,T9850951,AC11223455,HDFC Bank,AC28883585,Aarav,Shopping,1444.99,Debit,Auto-generated transaction details
2024-11-14,15:38:23,T9712845,AC64291548,Larsen & Toubro,AC42056319,Hindustan Unilever,Shopping,5531.68,Debit,Auto-generated transaction details
2024-11-14,15:38:23,T4567744,AC56127582,Siddharth,AC60916721,Bharti Airtel,Transport,5963.62,Debit,Auto-generated transaction details
2024-11-14,15:38:23,T6639547,AC58938791,State Bank of India,AC64068004,Neha,Miscellaneous,7944.11,Credit,Auto-generated transaction details
2024-11-15,15:38:23,T6201994,AC97766447,Maruti Suzuki,AC44394480,Wipro,Healthcare,4138.43,Debit,Auto-generated transaction details
2024-11-15,15:38:23,T2949247,AC59099772,Reliance Industries,AC48902349,Mahindra & Mahindra,Entertainment,6541.02,Credit,Auto-generated transaction details
2024-11-15,15:38:23,T6757109,AC28614763,Ishita,AC93535005,Aditi,Food,9475.29,Credit,Auto-generated transaction details
2024-11-15,15:38:23,T9981464,AC56813561,Bajaj Finserv,AC22885505,Neha,Shopping,886.75,Credit,Auto-generated transaction details
2024-11-16,15:38:23,T4627853,AC89158663,Wipro,AC79437577,Siddharth,Food,2842.3,Credit,Auto-generated transaction details
2024-11-17,15:38:23,T3842585,AC55105902,Meera,AC68103040,Diya,Food,495.33,Credit,Auto-generated transaction details
2024-11-17,15:38:23,T5689597,AC19869452,Larsen & Toubro,AC83376395,Rohan,Healthcare,7291.24,Credit,Auto-generated transaction details
2024-11-17,15:38:23,T2026768,AC83982544,Reliance Industries,AC66876850,Akash,Education,2033.99,Credit,Auto-generated transaction details
2024-11-17,15:38:23,T3913032,AC23636348,Diya,AC49673529,Bajaj Finserv,Transport,4741.63,Debit,Auto-generated transaction details
2024-11-18,15:38:23,T5418997,AC48001455,Bajaj Finserv,AC49749341,Adani Enterprises,Transport,2739.41,Credit,Auto-generated transaction details
2024-11-18,15:38:23,T5785494,AC56021562,Mahindra & Mahindra,AC24217302,Diya,Transport,8503.42,Credit,Auto-generated transaction details
2024-11-18,15:38:23,T4453271,AC61751346,Kabir,AC80383261,Arjun,Transport,8111.57,Credit,Auto-generated transaction details
2024-11-19,15:38:23,T2790086,AC88591239,Karthik,AC88559036,Infosys,Shopping,537.89,Credit,Auto-generated transaction details
2024-11-19,15:38:23,T2410357,AC42508473,HDFC Bank,AC27683759,Meera,Food,6671.34,Debit,Auto-generated transaction details
2024-11-19,15:38:23,T6650905,AC30757427,Arjun,AC11119689,Infosys,Entertainment,4796.66,Debit,Auto-generated transaction details
2024-11-19,15:38:23,T7300470,AC96020470,Maruti Suzuki,AC62552798,Vikram,Food,5113.27,Credit,Auto-generated transaction details
2024-11-19,15:38:23,T2275814,AC66385312,Mahindra & Mahindra,AC26884951,Pooja,Education,7477.15,Debit,Auto-generated transaction details
2024-11-19,15:38:23,T8773620,AC10624506,Ananya,AC54373083,Rohan,Utilities,944.35,Debit,Auto-generated transaction details
2024-11-19,15:38:23,T3592910,AC31901264,Ananya,AC60375100,Kabir,Healthcare,1565.17,Debit,Auto-generated transaction details
2024-11-20,15:38:23,T5404606,AC12878642,Bharti Airtel,AC63390982,HDFC Bank,Education,8693.9,Credit,Auto-generated transaction details
2024-11-20,15:38:23,T2333692,AC66713410,Infosys,AC86007955,Karthik,Shopping,2725.57,Debit,Auto-generated transaction details
2024-11-20,15:38:23,T6357535,AC74288400,Kabir,AC65329884,Infosys,Entertainment,7637.96,Debit,Auto-generated transaction details
2024-11-20,15:38:23,T4022243,AC78738612,Pooja,AC46982106,Bharti Airtel,Education,6727.65,Credit,Auto-generated transaction details
2024-11-21,15:38:23,T3647842,AC32957266,Bharti Airtel,AC94420716,Reliance Industries,Entertainment,2318.75,Debit,Auto-generated transaction details
